symbol,amount,invested,current_value,pnl,pnl_pct
bitcoin,0.25,0.0,22030.75,22030.75,0
ethereum,1.5,0.0,4469.715,4469.715,0
eth,5.225057435466202,0.0,15569.678396776544,15569.678396776544,0
