symbol,amount,invested,current_value,pnl,pnl_pct
bitcoin,0.25,500.0,22056.0,21556.0,4311.2
ethereum,1.5,2250.0,4467.885,2217.885,98.57266666666668
eth,15.670676100603108,0.0,46676.51912649541,46676.51912649541,0
